issue_number,appid,title,resolution_status,resolution_method,confidence_tier,routing_universe,linked_commits,cw_bug_ids,compat_flags,components,symptom_tags,tag_group
9287,2070270,Cloudheim (2070270),addressed,community_workaround,C,unknown,,,,,Startup Crash,
5511,1593500,God of War (1593500),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
7955,1594320,Captain of Industry (1594320),unaddressed,,-,unknown,,,,,UI Issues,
8727,1771300,Kingdom Come: Deliverance II (1771300),unaddressed,,-,unknown,,,,,Freeze Black Screen Cutscene Issue,
6910,2108330,F1 23 (2108330),addressed,community_workaround,C,unknown,,,,,Freeze,
7644,1769320,Athanasy (1769320),addressed,community_workaround,C,unknown,,,,,Freeze,
5402,15950,Reaxxion (15950),addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
4636,1382330,Persona 5 Strikers (1382330),unaddressed,,-,graphics,2516,,,,Black Screen Freeze,
6577,1324130,Stranded: Alien Dawn (1324130),partially_addressed,community_workaround,C,unknown,,,,,Freeze Graphic  / Rendering Issue,
8770,3508140,Worldwide Rush Demo (3508140),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
6288,1953520,WRC Generations – The FIA WRC Official Game (1953520),addressed,upstream_downstream,A,wine,6de51bc22e5bd220ba79cbfae052b08abc4289d2 d597979ccafc1438f009cf9c403ed9b352c7f0f1 1458 1484,,,,Launch Failure,
4608,1364390,Animaze by FaceRig (1364390),partially_addressed,community_workaround,C,unknown,,,,,Installation Failure,
7574,2707900,NIGHT-RUNNERS™ PROLOGUE (2707900),addressed,community_workaround,C,unknown,,,,,Cutscene Issue,
5378,1372280,Melty Blood: Type Lumina (1372280),addressed,proton_update,B,wine,,,,quartz lsteamclient,Cutscene Issue,
6718,268850,EVGA Precision X1 (268850),unaddressed,,-,unknown,,,,,Launch Failure,
5310,1178830,Bright Memory: Infinite (1178830),unaddressed,,-,unknown,,,,,Cutscene Issue Graphic  / Rendering Issue,
6822,482400,System Shock (482400),addressed,upstream_downstream,C,unknown,,,,,Graphic  / Rendering Issue,
8585,2531310,The Last of Us™ Part II Remastered (2531310),unaddressed,,-,unknown,,,,,Audio Issue,
6023,397540,Borderlands 3 (397540) not launching,addressed,upstream_downstream,C,unknown,,,,,Launch Failure Network / Sync Issue,
5197,1760770,Crystal Project Demo (1760770),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
7026,1194810,Meet Your Maker (1194810),addressed,proton_update,B,graphics,,,,DXVK vkd3d-proton d3d11 d3d12 shader amd/radv,Startup Crash,
6595,1448440,Wo Long: Fallen Dynasty (1448440),addressed,proton_update,B,wine,,,,wine media foundation / wmf video,Cutscene Issue Freeze,
6585,22120,Penumbra: Black Plague Gold Edition (22120),unaddressed,,-,unknown,,,,,Launch Failure Black Screen Graphic  / Rendering Issue,
7859,2556990,Beyond Good & Evil - 20th Anniversary Edition (2556990),addressed,upstream_downstream,C,unknown,,,,,Black Screen In-game Crash,
6505,699130,World War Z: Aftermath (699130),addressed,proton_update,B,graphics,,,,DXVK vulkan,Black Screen,
5235,753640,Outer Wilds (753640),addressed,community_workaround,C,unknown,,,,,Black Screen,
6017,1332010,Stray (1332010),unaddressed,,-,unknown,,,,,Launch Failure,
5145,1124300,Humankind (1124300),unaddressed,,-,wine,,,,wine video,In-game Crash,
5491,225540,Just Cause 3 stuttering with Proton 6.3-8,unaddressed,,-,unknown,,,,,Stutter,
6489,1336490,Against the Storm (1336490),addressed,upstream_downstream,C,unknown,,,,,Graphic  / Rendering Issue In-game Crash,
5007,754530,IL-2 Sturmovik: Cliffs of Dover Blitz Edition (754530),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
6817,1364780,Street Fighter 6 (1364780),addressed,upstream_downstream,B,graphics,,,,vkd3d-proton d3d12 vulkan,In-game Crash,
6060,580,Viva piñata,addressed,community_workaround,C,unknown,,,,,Launcher / Verification Issue,
7590,2420110,Horizon Forbidden West (2420110),partially_addressed,upstream_downstream,C,unknown,,,,,Shader Compilation Issue Freeze,
5047,1238840,Battlefield 1 (1238840),unaddressed,,-,unknown,,,,,UI Issues,
9166,394550,Gunman Clive 2 (394550),addressed,community_workaround,C,unknown,,,,,Shader Compilation Issue Graphic  / Rendering Issue,
5806,674140,Bugsnax (674140),addressed,community_workaround,C,unknown,,,,,Black Screen,
4792,206020,Avernum 4 (206020),addressed,upstream_downstream,A,unknown,db92b6b3fc82f9e474f5663b782a2f990bdbf1b1,,,,Launch Failure,
6795,2005010,"Warhammer 40,000: Boltgun (2005010)",partially_addressed,proton_update,B,unknown,,,,dinput/xinput controller/input,Cutscene Issue,
7394,2131640,METAL GEAR SOLID 2: Sons of Liberty - Master Collection Version (2131640),partially_addressed,upstream_downstream,C,unknown,,,,,In-game Crash Memory Leak Cutscene Issue,
6817,1364780,Street Fighter 6 (1364780),addressed,proton_update,A,graphics,1647,,,vkd3d-proton d3d12 vulkan,In-game Crash,
5613,1245620,Elden Ring (1245620),partially_addressed,community_workaround,B,graphics,,,,vkd3d-proton anti-cheat,Launch Failure,
8767,1608450,Hellslave (1608450),partially_addressed,community_workaround,C,unknown,,,,,Input Lag,
8296,2694490,Path of Exile 2 (2694490),unaddressed,,-,graphics,2262,,,,Others,
6723,1716120,Monster Rancher 1 & 2 DX (1716120),addressed,upstream_downstream,C,unknown,,,,,Launcher / Verification Issue,
9026,3919760,Anno 117: Pax Romana Demo (3919760),unaddressed,,-,unknown,,,,,Launch Failure,
6736,820520,Deceive Inc. (820520),unaddressed,,-,unknown,,,,,Freeze Game Feature Missing,
6738,1313140,Cult of the Lamb (1313140),unaddressed,,-,unknown,,,,,Freeze,
5434,552990,World of Warships not launching,unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue Launch Failure,
7453,1284190,The Planet Crafter (1284190),addressed,upstream_downstream,C,unknown,,,,,Black Screen Freeze,
9246,409320,Syndrome (409320),unaddressed,,-,unknown,,,,,Launch Failure,
5102,252950,Errno 22 Invalid argument with vrclient.dll and proton 6.3-6 ,addressed,proton_update,C,unknown,,,,,Launch Failure,
9302,3470360,Gunz the duel (3470360),unaddressed,,-,unknown,,,,,Launcher / Verification Issue,
8255,2537590,Microsoft Flight Simulator 2024 (2537590),partially_addressed,community_workaround,A,graphics,5675d7cd607e88f7ab33009c7f271074fbdddcfd,,,DXVK vkd3d-proton wine,Cutscene Issue,
6241,1182900,A Plague Tale: Requiem (1182900),addressed,community_workaround,B,graphics,,,,wine d3d12 vulkan video,Launch Failure Black Screen,
5812,1895130,Darza's Dominion (1895130),addressed,proton_update,A,proton-wrapper,cf5de03a49454c04f225dbefabbedc38a9828f87 bea1fa891a3402b0a8f29e74e1077da524d7cbfe,,,wine audio video,Launch Failure,
4790,544810,KARDS - The WWII Card Game (544810),addressed,upstream_downstream,C,unknown,,,,,Installation Failure,
6922,294810,BlazBlue: Continuum Shift Extend (294810),unaddressed,,-,unknown,,,,,Cutscene Issue,
5431,20900,The Witcher: Enhanced Edition wont launch,unaddressed,,-,unknown,,,,,Launch Failure,
7012,1999,Supreme Snowboarding (1999),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
6384,1294660,Divine Knockout (DKO) (1294660),addressed,upstream_downstream,C,unknown,,,,,Anti-cheat Issue,
5196,1271700,HOT WHEELS UNLEASHED™ (1271700),addressed,community_workaround,C,unknown,,,,,Graphic  / Rendering Issue,
7307,1963370,No One Survived (1963370),unaddressed,,-,unknown,,,,,Launcher / Verification Issue,
8292,2677660,Indiana Jones and the Great Circle (2677660),partially_addressed,proton_update,A,wine,7ea2208c568bee2c79db3194edc272722e3efa4e,,,wine vulkan amd/radv,Graphic  / Rendering Issue,
5412,1477590,EZ2ON REBOOT : R (1477590),partially_addressed,community_workaround,C,unknown,,,,,Cutscene Issue Freeze,
7897,2717480,Envelope (2717480),partially_addressed,proton_update,C,unknown,,,,,Audio Issue Launch Failure,
6297,369530,Void Destroyer 2 (369530),addressed,proton_update,B,graphics,,,,DXVK vkd3d-proton wine shader,Freeze,
5242,1281590,The Dark Pictures Anthology: House of Ashes (1281590),addressed,upstream_downstream,C,unknown,,,,,Controller Issue,
5082,636570,Nights of Azure 2 (636570),unaddressed,,-,unknown,,,,,Loading/Saving Crash,
5772,1063730,New World: Aeternum (1063730),partially_addressed,community_workaround,C,unknown,,,,,Stutter Loading/Saving Crash Game Feature Missing,
7565,40100,supreme commander 2 fails silently with proton experimental,addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
4570,551370,Gravity Sketch,partially_addressed,proton_update,C,unknown,,,,,Launch Failure,
5678,1510460,Chicken Invaders Universe (1510460),addressed,proton_update,B,wine,,,,wine,Freeze,
8677,3123410,Atelier Yumia: The Alchemist of Memories & the Envisioned Land (3123410),addressed,proton_update,B,unknown,,,,video,Cutscene Issue,
5120,436670,The Legend of Heroes: Trails in the Sky the 3rd (436670),partially_addressed,community_workaround,C,unknown,,,,,Cutscene Issue,
5229,868270,The Cycle: Frontier (868270),partially_addressed,upstream_downstream,C,unknown,,,,,Cutscene Issue Freeze,
5452,421190,Larcenauts (appid 421190),addressed,proton_update,B,wine,,,,wine,Launch Failure,
6151,1473480,Alliance of Valiant Arms Global (1473480),unaddressed,,-,unknown,,,,,Low FPS Input Lag Input Configuration Issue,
5814,495280,Disgaea 2 PC (495280),addressed,proton_update,B,graphics,,,,wine vulkan,Graphic  / Rendering Issue Controller Issue,
6547,1284210,Guild Wars 2 (1284210),addressed,proton_update,B,wine,,,,wine,Startup Crash,
8754,1266540,Ships At Sea (1266540),addressed,proton_update,C,unknown,,,,,Audio Issue,
5627,293760,Automation - The Car Company Tycoon Game (293760),addressed,community_workaround,C,unknown,,,,,Launcher / Verification Issue,
7693,253230,[nvidia]games works well only first time and never agin until i reinstall drivers or update them (im useing hybird mode),unaddressed,,-,unknown,,,,,Freeze,
4674,779340,Total War: THREE KINGDOMS (779340),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
8727,1771300,Kingdom Come: Deliverance II (1771300),unaddressed,,-,unknown,,,,,Freeze Black Screen Cutscene Issue,
9095,2670630,Supermarket Simulator (2670630),partially_addressed,community_workaround,C,unknown,,,,,Input Configuration Issue,
8032,1934680,Age of Mythology: Retold (1934680),unaddressed,,-,unknown,,,,,Launch Failure,
4700,1388590,Yakuza 6: The Song of Life (1388590),unaddressed,,-,unknown,,,,,In-game Crash,
8109,588190,Tower!3D Pro (588190),unaddressed,,-,unknown,,,,,Input Configuration Issue,
4979,489560,Astroflux (489560),addressed,community_workaround,C,unknown,,,,,Black Screen Launch Failure,
4905,250820,SteamVR not working on Fedora 34,unaddressed,,-,unknown,,,,,Launch Failure,
5728,611500,Quake Champions (611500),unaddressed,,-,unknown,,,,,Launch Failure Anti-cheat Issue Black Screen,
7594,49900,Plain Sight (49900),unaddressed,,-,unknown,,,,,Freeze,
4686,774181,Rhythm Doctor (774181),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
5613,1245620,Elden Ring (1245620),partially_addressed,community_workaround,B,graphics,,,,vkd3d-proton anti-cheat,Launch Failure,
7163,215630,Demonicon (appid 215630),unaddressed,,-,unknown,,,,,Launch Failure,
8487,3361750,Stars Reach Playtest (3361750),addressed,upstream_downstream,C,unknown,,,,,Loading/Saving Crash Launch Failure,
6394,368260,Marvel's Midnight Suns (368260),unaddressed,,-,unknown,,,,,In-game Crash Loading/Saving Crash Network / Sync Issue,
5472,12330,DarkStar One (12330),unaddressed,,-,unknown,,,,,Installation Failure Black Screen Launch Failure,
5950,1182110,Weed Shop 3 (1182110),unaddressed,,-,unknown,,,,,In-game Crash,
5613,1245620,Elden Ring (1245620),unaddressed,,-,graphics,,,,vkd3d-proton anti-cheat,Launch Failure,
6168,1110100,Power Rangers: Battle for the Grid (1110100),unaddressed,,-,unknown,,,,,Cutscene Issue,
6826,2141910,Magic: The Gathering Arena (2141910),addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
9054,2951630,Total War: Pharoah Dynasties (2951630),unaddressed,,-,unknown,,,,,Shader Compilation Issue Low FPS,
4969,1475200,Pickup Basketball VR (appid 1475200),addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
7667,934700,Dead Island 2 (934700),unaddressed,,-,unknown,,,,,Loading/Saving Crash,
8542,220,VRR locked at 60hz on Source 2013 games on Proton 9 and Experimental,unaddressed,,-,unknown,,,,,Low FPS,
7057,2371630,Sword Art Online: Integral Factor (2371630),addressed,proton_update,C,unknown,,,,,Launch Failure,
7967,1316910,All Games Fail to Launch Through Protons Version >7,addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
8147,2429640,Throne and Liberty (2429640),partially_addressed,community_workaround,C,unknown,,,,,Controller Issue,
8965,3081410,Battlefield™ 6 Open Beta (3081410),unaddressed,,-,unknown,,,,,Launch Failure,
5874,1569550,Dread X Collection: The Hunt (1569550),addressed,proton_update,B,graphics,,,,DXVK wine dxgi video,Cutscene Issue In-game Crash,
7981,1262600,Need for Speed™ Rivals (1262600),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure Input Configuration Issue,
8727,1771300,Kingdom Come: Deliverance II (1771300),unaddressed,,-,unknown,,,,,Freeze Black Screen Cutscene Issue,
5664,1531540,Distant Worlds 2 (1531540),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
9340,1425000,Endless Alice (1425000),addressed,upstream_downstream,C,unknown,,,,,Network / Sync Issue In-game Crash,
6851,2379390,Tom Clancy’s Rainbow Six® Extraction (2379390),partially_addressed,proton_update,B,graphics,,,,wine vulkan amd/radv,Launch Failure,
6573,1361210,"Warhammer 40,000: Darktide (1361210)",partially_addressed,community_workaround,C,unknown,,,,,Freeze In-game Crash,
5939,1094640,True Love '95 (1094640),addressed,upstream_downstream,C,unknown,,,,,Black Screen Launch Failure,
6449,1408230,Walkabout Mini Golf (1408230),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
9233,3375780,Trails in the Sky 1st Chapter (3375780),unaddressed,,-,unknown,,,,,Audio Issue Graphic  / Rendering Issue,
5044,1293160,The Medium,unaddressed,,-,unknown,,,,,Freeze Audio Issue In-game Crash,
6640,218620,PAYDAY 2 (218620),partially_addressed,proton_update,B,graphics,,,,DXVK wine,Launch Failure,
6493,1817230,Hi-Fi Rush (1817230),unaddressed,,-,unknown,,,,,Audio Issue,
7036,2290180,Riders Republic (2290180),partially_addressed,proton_update,B,graphics,,,,DXVK wine,Startup Crash,
5894,1239080,Door Kickers 2 (1239080),addressed,upstream_downstream,C,unknown,,,,,Memory Leak,
6852,1985810,Call of Duty®: Black Ops Cold War (1985810),partially_addressed,community_workaround,A,proton-wrapper,63dba5821daef24db8943188dbeafaa8fb6dadcd 9107,,,,Launch Failure,
8428,2651280,Marvel's Spider-Man 2 (2651280),unaddressed,,-,graphics,2395,,,,Graphic  / Rendering Issue,
8208,2016590,Dark and Darker (2016590),addressed,proton_update,B,wine,,,,wine,Launch Failure,
5597,744810,Proton won't launch any games using NVIDIA 390 drivers,addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
8027,1900,Earth 2160 (1900),unaddressed,,-,unknown,,,,,Network / Sync Issue,
8311,2318500,Exo Rally Championship Demo (2318500),unaddressed,,-,unknown,,,,,Cutscene Issue,
4547,16810,Sid Meier's Civilization IV: Colonization (16810),addressed,proton_update,B,wine,,,,wine controller/input,Input Configuration Issue,
7006,1922560,Plants vs. Zombies Garden Warfare 2: Deluxe Edition (1922560),unaddressed,,-,unknown,,,,,Installation Failure,
6200,1176470,Terra Invicta (1176470),unaddressed,,-,unknown,,,,,Low FPS,
5105,544550,Stationeers (544550),partially_addressed,community_workaround,C,unknown,,,,,Controller Issue,
5613,1245620,Elden Ring (1245620),unaddressed,,-,proton-wrapper,9298,,,vkd3d-proton anti-cheat,Launch Failure,
8423,593960,Lorelai (593960),unaddressed,,-,unknown,,,,,Cutscene Issue Launch Failure,
9010,2417610,METAL GEAR SOLID Δ: SNAKE EATER (2417610),partially_addressed,community_workaround,A,graphics,2598,,,,Launch Failure,
8191,3081830,FLARE NUINUI QUEST (3081830),unaddressed,,-,unknown,,,,,Launch Failure,
5668,780310,The Riftbreaker (780310),partially_addressed,community_workaround,C,unknown,,,,,In-game Crash,
7354,34330,SHOGUN: Total War (34330) [BROKEN],unaddressed,,-,unknown,,,,,Launch Failure,
6088,1817070,Marvel’s Spider-Man Remastered (1817070),unaddressed,,-,proton-wrapper,6120 1254,,,,Startup Crash Black Screen,
4932,1449560,Metro Exodus Enhanced Edition (1449560),partially_addressed,upstream_downstream,C,unknown,,,,,Black Screen Startup Crash,
6499,1743850,HYPER DEMON (1743850),unaddressed,,-,unknown,,,,,In-game Crash,
7039,1084160,Jagged Alliance 3 (1084160),addressed,community_workaround,C,unknown,,,,,Launch Failure Freeze,
7559,2741560,Sim City 3000 Unlimited (2741560),partially_addressed,proton_update,B,wine,,,,wine,Freeze,
5426,1659050,Creatures Docking Station (1659050),unaddressed,,-,unknown,,,,,Launch Failure,
5201,1100140,Touhou Fuujinroku ~ Mountain of Faith. (1100140),addressed,proton_update,A,proton-wrapper,7a46a3cf4011ae3441cddff94d08bc280825a755 5536e50175b478e8f0b1fdf77a0679ba6720aaa7 dcfa1890f0297971efb6098d35613279d5c9bcd1,,,wine,Graphic  / Rendering Issue,
8624,6900,Defiance,addressed,proton_update,A,wine,5938ce84433ab10716f5310c7d8f3e0ffa7fc591 4eff187961e99fc58f0812d37bc9fac79406c330 1904227cc363e0fed0fc69d038a0902010f9331b,,,wine fsync/esync,Network / Sync Issue,
6559,1326470,Sons Of The Forest (1326470),unaddressed,,-,unknown,,,,,Freeze,
7807,583090,SeaBed (583090),addressed,upstream_downstream,A,wine,bd8ec8f264b5403f90bca6ecb26ae3170995ccd4,,,,Black Screen Graphic  / Rendering Issue,
5650,389170,Songs for a Hero - Definitive Edition (389170),addressed,proton_update,B,wine,,,,wine,Launch Failure,
6027,267920,Gun Metal (267920),unaddressed,,-,unknown,,,,,Freeze Cutscene Issue Audio Issue,
6042,389730,"Tekken 7 (389730) freezes whenever i hit another character,Reinstall fixes it once but after that it breaks again",addressed,community_workaround,C,unknown,,,,,Freeze,
5182,202480,Skyrim Creation Kit (202480),addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
7046,742420,Saints Row (742420),unaddressed,,-,unknown,,,,,Low FPS,
5295,218230,Planetside 2 (218230),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
5046,1218250,We Went Back (1218250),addressed,proton_update,B,unknown,,,,video,Cutscene Issue,
9210,2864560,Rune Factory: Guardians of Azuma (2864560),unaddressed,,-,unknown,,,,,Low FPS Memory Leak,
5156,1252330,Deathloop (1252330),unaddressed,,-,unknown,,,hideapu,,Audio Issue,
5541,910490,Killsquad (910490),addressed,proton_update,B,wine,,,,wine,Freeze,
5145,1124300,Humankind (1124300),addressed,proton_update,B,wine,,,,wine video,In-game Crash,
